data,ndvi_medio,media_movel,mes,mes_nome
2023-04-01 13:18:37.628,0.7392981804128331,,4,Abr
2023-04-11 13:18:38.982,0.7111145592578213,,4,Abr
2023-04-16 13:18:40.121,0.7237687243379772,0.717080717849786,4,Abr
2023-04-21 13:18:37.458,0.7235944775915958,0.6952624232576868,4,Abr
2023-05-16 13:18:43.132,0.6876276476487023,0.6765231255356122,5,Mai
2023-05-26 13:18:43.502,0.6302067074523373,0.6502576489302246,5,Mai
2023-06-05 13:18:40.475,0.6174180706474482,0.6203141879051609,6,Jun
2023-06-10 13:18:42.709,0.5924413413110393,0.5984004898536134,6,Jun
2023-06-20 13:18:42.733,0.5738771724662769,0.5782643806725764,6,Jun
2023-06-25 13:18:43.288,0.5780591573909655,0.5561884817859649,6,Jun
2023-07-05 13:18:44.230,0.529526161547152,0.5298496509857952,7,Jul
2023-07-15 13:18:43.911,0.507038576214391,0.5035737463160114,7,Jul
2023-08-04 13:18:43.541,0.46074718731019015,0.4810527960580681,8,Ago
2023-08-24 13:18:42.813,0.4424976491173585,0.47488887596546636,8,Ago
2023-09-03 13:18:43.562,0.4654544061012488,0.4748369645211718,9,Set
2023-09-08 13:18:44.007,0.4987065610841436,0.4843848192918701,9,Set
2023-09-13 13:18:41.921,0.506779018992918,0.4970381480742998,9,Set
2023-09-18 13:18:41.729,0.5084864611636812,0.5321212445701637,9,Set
2023-09-23 13:18:42.360,0.5057642930295075,0.5671239414010076,9,Set
2023-10-23 13:18:40.135,0.6408698885805685,0.5933167792235692,10,Out
2023-11-07 13:18:38.323,0.6737200452383632,0.6297979561701663,11,Nov
2023-11-12 13:18:39.748,0.6377432081057248,0.6649496470866272,11,Nov
2023-12-02 13:18:35.943,0.6908923458966679,0.6731294416911159,12,Dez
2023-12-07 13:18:32.886,0.6815227476118114,0.6701797011446552,12,Dez
2023-12-17 13:18:34.939,0.6817688616030121,0.6802458591256271,12,Dez
2023-12-22 13:18:39.879,0.6589713425060599,0.5839570504044157,12,Dez
2023-12-27 13:18:35.891,0.6880739980105833,0.5059651121754699,12,Dez
2024-01-11 13:18:36.488,0.2094483022906114,0.4211267649151357,1,Jan
2024-01-16 13:18:31.001,0.29156305646708275,0.41444454328560276,1,Jan
2024-02-05 13:18:34.713,0.25757712530134136,0.39998532409253007,2,Fev
2024-02-10 13:18:39.305,0.625560234358395,0.49496994851705456,2,Fev
2024-03-16 13:18:38.976,0.6157779020452198,0.5670407156700732,3,Mar
2024-03-31 13:18:38.075,0.6843714244132337,0.6474937691750414,3,Mar
2024-04-05 13:18:36.385,0.651916892232176,0.5235571845123116,4,Abr
2024-04-10 13:18:38.746,0.6598423928261827,0.5306286683030553,4,Abr
2024-04-20 13:18:39.487,0.0058773110447457215,0.5231774857840658,4,Abr
2024-04-30 13:18:38.707,0.6511353209989386,0.5075945310151108,4,Abr
2024-05-05 13:18:41.551,0.6471155118182859,0.488450911813068,5,Mai
2024-06-14 13:18:44.832,0.5740021183874009,0.592290168434475,6,Jun
2024-06-19 13:18:41.072,0.5641242968159687,0.5651915889251683,6,Jun
2024-06-24 13:18:42.702,0.5250735941517812,0.5351580131554586,6,Jun
2024-06-29 13:18:42.695,0.5156424234524046,0.4488979975356844,6,Jun
2024-07-24 13:18:41.052,0.4969476329697378,0.42974272552400705,7,Jul
2024-07-29 13:18:40.391,0.14270204028852979,0.41496389592780714,7,Jul
2024-08-03 13:18:41.277,0.46834793675758196,0.4007616164188029,8,Ago
2024-08-08 13:18:42.494,0.45117944617078176,0.3864088459510406,8,Ago
2024-08-18 13:18:40.914,0.4446310259073833,0.4450488232423203,8,Ago
2024-08-23 13:18:36.230,0.4251837806309261,0.4361224541102827,8,Ago
2024-08-28 13:18:40.848,0.43590192674492867,0.43426686407582926,8,Ago
2024-09-02 13:18:38.620,0.4237160910973938,0.4326112982953605,9,Set
2024-09-07 13:18:41.284,0.44190149599851425,0.4330500268138063,9,Set
2024-09-12 13:18:36.430,0.4363531970050396,0.42391451786182366,9,Set
2024-09-22 13:18:40.319,0.427377423223155,0.42579509118296077,9,Set
2024-10-02 13:18:40.515,0.39022438198501563,0.41908866995368754,10,Out
2024-10-07 13:18:38.646,0.43311895770307934,0.41896369108619175,10,Out
2024-10-17 13:18:39.229,0.4083693898521482,0.435387794920831,10,Out
2024-10-22 13:18:38.607,0.4357283026675608,0.4688013480520793,10,Out
2024-11-01 13:18:38.524,0.5094979423963512,0.43970100386747746,11,Nov
2024-11-11 13:18:37.233,0.5572921476412566,0.4655427019048696,11,Nov
2024-11-26 13:18:40.366,0.2876172367800705,0.5067543574349445,11,Nov
2024-12-06 13:18:38.993,0.537577880039109,0.5329032169878971,12,Dez
2024-12-31 13:18:39.358,0.641786580317935,0.543223813948586,12,Dez
2025-01-05 13:18:39.083,0.6402422401611145,0.6135055570637155,1,Jan
2025-01-20 13:18:37.635,0.6088951324447008,0.6312407359757637,1,Jan
2025-02-09 13:19:04.994,0.6390259523557179,0.6349281915080859,2,Fev
2025-02-19 13:19:00.163,0.6262537745993498,0.6314602999071921,2,Fev
2025-02-24 13:18:42.786,0.6602238579795465,0.6316394435801327,2,Fev
2025-03-01 13:19:03.248,0.6229027821566456,0.6474224276273256,3,Mar
2025-03-06 13:18:41.858,0.6097908508094035,0.6653233200441357,3,Mar
2025-04-12 13:18:52.069,0.717940872591683,0.6681451022906308,4,Abr
2025-04-15 13:18:41.478,0.7157582366834004,0.676031043673495,4,Abr
2025-05-02 13:18:52.618,0.6743327692120213,0.6866385100645304,5,Mai
2025-05-05 13:18:40.770,0.6623324890709665,0.6731787606162534,5,Mai
2025-05-15 13:18:38.980,0.6628281827645806,0.6520735553493153,5,Mai
2025-05-20 13:18:56.869,0.6506421253502984,0.6458169183076035,5,Mai
2025-05-22 13:18:55.207,0.6102322103487098,0.6420511250448968,5,Mai
2025-05-25 13:18:40.135,0.6430495840034622,0.6339485123057014,5,Mai
2025-05-30 13:18:59.172,0.6435035227574328,0.6188753035279463,5,Mai
2025-06-04 13:18:39.136,0.6223151190686034,0.6050688325378482,6,Jun
2025-06-19 13:18:56.964,0.5752760814615234,0.5867589372492243,6,Jun
2025-06-29 13:19:00.152,0.5411998553982189,0.5674609351402717,6,Jun
2025-07-14 13:18:42.324,0.5515001075603435,0.5443158241116455,7,Jul
2025-07-19 13:19:02.012,0.5470135122126694,0.5306818075827265,7,Jul
2025-07-21 13:18:58.111,0.5065895639254722,0.5177538312047242,7,Jul
2025-08-03 13:18:39.459,0.5071059988169285,0.503404320551468,8,Ago
2025-08-08 13:18:57.183,0.47655997350820717,0.48400260268902173,8,Ago
2025-08-13 13:18:41.078,0.47975255429406316,0.46062753710192605,8,Ago
2025-08-30 13:18:53.304,0.4500049229004377,0.4443137885996701,8,Ago
2025-09-02 13:18:38.710,0.38971423598999366,0.43725879188348415,9,Set
2025-09-12 13:18:37.434,0.425537256305649,0.44001572513250053,9,Set
2025-09-27 13:18:54.280,0.4412849899272771,0.46194218034066037,9,Set
2025-10-17 13:18:49.559,0.49353722053914517,0.4527638159553605,10,Out
2025-11-01 13:18:36.459,0.5596371989412369,0.4049919266002119,11,Nov
2025-11-11 13:18:35.096,0.34382241406349456,0.44671090637739264,11,Nov
2025-11-21 13:18:33.494,0.18667780952990598,0.48108043715531723,11,Nov
2025-12-01 13:18:33.196,0.6498798888131805,0.4942385756249103,12,Dez
2025-12-06 13:18:46.360,0.665384874428768,0.5248674816574856,12,Dez
2025-12-08 13:18:53.637,0.6254278912892026,0.6213069438825889,12,Dez
2025-12-21 13:18:37.368,0.4969669442263709,0.6266534930289129,12,Dez
2025-12-26 13:18:46.468,0.6688751206554222,0.629454052350443,12,Dez
2025-12-28 13:18:59.406,0.6766126345448009,0.6559299497775172,12,Dez
2026-01-10 13:18:36.036,0.6793876710364187,0.7085695191940393,1,Jan
2026-03-16 13:18:41.082,0.7578073784245729,0.7255243827594067,3,Mar
2026-03-21 13:18:35.012,0.7601647913089817,0.7420112499443315,3,Mar
2026-03-26 13:18:40.607,0.7536494384822588,0.7560350623229499,3,Mar
2026-03-28 13:18:59.540,0.7590469704694255,,3,Mar
2026-04-05 13:18:37.811,0.7495067329295113,,4,Abr
